33B,51024,51024,52752,52752,55056,55056,57336,57336,59256,59256
34,52752,55056,55056,57336,57336,59256,59256,61664,61664,63776
34A,52752,55056,55056,57336,57336,59256,59256,61664,61664,63776
35,55056,57336,57336,59256,59256,61664,61664,63776,63776,66592
36,59256,59256,61664,61664,63776,63776,66592,66592,68808,68808
37A,61664,61664,63776,63776,66592,66592,68808,68808,71112,71112
37,63776,63776,66592,66592,68808,68808,71112,71112,73712,75376
27,40576,40576,42368,42368,43816,43816,43816,45352,45352,46888
28,42368,43816,43816,45352,45352,46888,46888,46888,48936,48936
29,45352,45352,46888,46888,48936,48936,48936,51024,51024,52752
30,46888,48936,48936,51024,51024,51024,52752,52752,55056,55056
31,51024,51024,52752,52752,52752,55056,55056,55056,57336,57336
32,52752,52752,52752,55056,55056,57336,57336,57336,59256,59256
32A,57336,57336,59256,59256,59256,61664,61664,63776,63776,63776
33,59256,61664,61664,63776,63776,63776,66592,66592,68808,68808
33A,52752,55056,55056,55056,57336,57336,57336,59256,59256,61664
33B,59256,61664,61664,63776,63776,63776,66592,66592,68808,68808
34,63776,63776,66592,66592,68808,68808,71112,71112,71112,73712
34A,63776,66592,66592,66592,68808,68808,71112,71112,73712,73712
35,66592,68808,68808,71112,71112,73712,73712,75376,76208,76208
36,71112,71112,73712,73712,75376,76208,76208,78704,78704,81176
37A,73712,73712,75376,76208,78704,78704,81176,81176,81176,84760
37,76208,76208,78704,78704,81176,81176,81176,84760,84760,87936
27,46888,46888,48936,48936,48936,51024,51024,51024,52752,52752
28,48936,51024,51024,52752,52752,52752,55056,55056,55056,57336
29,52752,52752,55056,55056,55056,57336,57336,57336,59256,59256
30,55056,57336,57336,57336,59256,59256,59256,61664,61664,63776
31,59256,59256,59256,61664,61664,63776,63776,63776,66592,66592
32,61664,61664,61664,63776,63776,63776,66592,66592,66592,68808
32A,66592,66592,68808,68808,68808,71112,71112,73712,73712,73712
33,71112,71112,71112,73712,75376,76208,76208,76208,78704,78704
33A,61664,61664,63776,63776,66592,66592,66592,68808,68808,68808
33B,71112,71112,71112,73712,75376,76208,76208,76208,78704,78704
34,75376,76208,76208,78704,78704,78704,81176,81176,81176,84760
34A,75376,76208,76208,78704,78704,81176,81176,81176,84760,84760
35,78704,78704,81176,81176,81176,84760,84760,84760,87936,87936
36,81176,81176,84760,84760,84760,87936,87936,90816,90816,90816
37A,84760,84760,87936,87936,90816,90816,90816,93800,93800,97896
37,87936,87936,90816,90816,93800,93800,93800,97896,97896,97896
27,52752,55056,55056,55056,57336,57336,57336,59256,59256,59256
28,57336,57336,59256,59256,59256,61664,61664,61664,61664,63776
29,59256,61664,61664,61664,63776,63776,63776,66592,66592,66592
30,63776,63776,63776,66592,66592,66592,68808,68808,68808,71112
31,66592,68808,68808,68808,71112,71112,71112,73712,73712,73712
32,68808,71112,71112,71112,73712,73712,73712,75376,76208,76208
32A,75376,76208,76208,78704,78704,78704,81176,81176,81176,84760
33,81176,81176,81176,81176,84760,84760,84760,87936,87936,87936
33A,71112,71112,71112,73712,75376,75376,76208,76208,78704,78704
33B,81176,81176,81176,81176,84760,84760,84760,87936,87936,87936
34,84760,84760,87936,87936,87936,90816,90816,93800,93800,93800
34A,84760,87936,87936,87936,90816,90816,90816,93800,93800,93800
35,87936,90816,90816,93800,93800,93800,93800,97896,97896,97896
36,93800,93800,93800,97896,97896,97896,101840,101840,101840,101840
37A,97896,97896,97896,101840,101840,101840,105528,105528,105528,107832
37,101840,101840,101840,105528,105528,107832,107832,110136,110136,112608
27,59256,61664,61664,61664,63776,63776,63776,63776,66592,66592
28,63776,63776,66592,66592,66592,66592,68808,68808,68808,71112
29,66592,68808,68808,68808,71112,71112,71112,73712,73712,73712
30,71112,71112,73712,73712,75376,75376,76208,76208,78704,78704
31,75376,76208,76208,78704,78704,78704,81176,81176,81176,81176
32,78704,78704,78704,81176,81176,81176,84760,84760,84760,84760
32A,84760,84760,87936,87936,87936,87936,90816,90816,90816,93800
33,90816,90816,90816,93800,93800,93800,93800,97896,97896,97896
33A,78704,81176,81176,81176,81176,84760,84760,84760,84760,87936
33B,90816,90816,90816,93800,93800,93800,93800,97896,97896,100752
34,93800,97896,97896,97896,97896,101840,101840,101840,105528,105528
34A,93800,97896,97896,97896,101840,101840,101840,101840,105528,105528
35,97896,101840,101840,101840,105528,105528,105528,107832,110136,110136
36,105528,105528,107832,107832,110136,110136,112608,112608,115040,115040
37A,110136,110136,112608,112608,115040,115040,117256,117256,119816,119816
37,112608,115040,115040,115040,117256,119816,119816,119816,124464,125808
27,66592,66592,68808,68808,68808,71112,71112,71112,71112,73712
28,71112,71112,73712,73712,73712,75376,75376,76208,76208,76208
29,75376,76208,76208,76208,78704,78704,78704,81176,81176,81176
30,78704,81176,81176,81176,81176,84760,84760,84760,84760,87936
31,84760,84760,84760,84760,87936,87936,87936,87936,90816,90816
32,87936,87936,87936,87936,90816,90816,90816,93800,93800,93800
32A,93800,93800,93800,97896,97896,97896,97896,101840,101840,101840
33,97896,97896,97896,97896,97896,97896,97896,97896,97896,97896
33A,87936,87936,87936,90816,90816,90816,93800,93800,93800,97896
33B,100752,100752,100752,100752,100752,100752,100752,100752,100752,100752
34,105528,105528,105528,105528,105528,105528,105528,105528,105528,105528
34A,105528,107832,107832,110136,110136,112608,112608,115040,115040,115040
35,110136,110136,112608,115040,115040,115040,117256,119816,119816,119816
36,117256,117256,117256,119816,119816,119816,124464,124464,125808,125808
37A,119816,124464,124464,124464,125808,125808,128496,128496,130392,130392
37,125808,125808,128496,128496,128496,133208,133208,133208,133208,137792
